rec_id,season,town,zone_use,building_type,trade_date,total_price,land_area_ping,building_area_ping,area_ping,unit_price_ping,address,is_land_only,is_special
1849253901201220146,115S2,埔心鄉,農,其他,1150205,3390000.0,121.1,0.0,121.1,27993.0,新段798-9地號,True,False
3100162552108417797,115S2,溪湖鎮,住,華廈(10層含以下有電梯),1150221,7150000.0,8.54,24.71,24.71,289357.0,彰化縣溪湖鎮富貴五街２１號三樓之７,False,False
5793576405911895775,115S2,埔鹽鄉,鄉村區,透天厝,1150206,8800000.0,28.84,43.84,43.84,200730.0,彰化縣埔鹽鄉光明路一段６８之２號,False,False
5265424673353373633,115S2,埤頭鄉,鄉村區,透天厝,1150223,16000000.0,194.94,59.4,59.4,269360.0,彰化縣埤頭鄉平原路３６５之２號,False,False
6015232733446306932,115S2,埔鹽鄉,鄉村區,其他,1150210,3388360.0,73.66,0.0,73.66,46000.0,石埤段343地號,True,True
8934245847779911216,115S2,埔心鄉,鄉村區,住宅大樓(11層含以上有電梯),1150224,8800000.0,7.8,38.05,38.05,231275.0,彰化縣埔心鄉員鹿路一段２２８號三樓之６,False,False
2910458031748837395,115S2,溪湖鎮,農,其他,1150225,4200000.0,324.28,0.0,324.28,12952.0,頂庄段845地號,True,False
8591508011849635071,115S2,秀水鄉,住,其他,1150224,3200000.0,45.13,0.0,45.13,70906.0,秀安段698地號,True,False
3471791705622400146,115S2,埔鹽鄉,鄉村區,其他,1150211,1080000.0,9.98,0.0,9.98,108216.0,新東榮段810地號,True,True
4002333624558084302,115S2,埔心鄉,農,其他,1150203,3100000.0,189.67,0.0,189.67,16344.0,東門段1389地號,True,False
3081217364075842384,115S2,秀水鄉,特定農業區,其他,1150225,252000.0,4.0,0.0,4.0,63000.0,曾厝段1042-2地號,True,False
3393568267769510202,115S2,秀水鄉,其他,其他,1150202,3333291.0,49.83,0.0,49.83,66893.0,新西興段39地號,True,False
6753017329397518695,115S2,溪湖鎮,住,華廈(10層含以下有電梯),1150226,7700000.0,11.27,28.09,28.09,274119.0,彰化縣溪湖鎮大公十三街６６號五樓之３,False,False
7368544760905026684,115S2,秀水鄉,特定農業區,其他,1150225,3700000.0,485.66,0.0,485.66,7618.0,下崙段1156地號,True,True
5098378708572551037,115S2,秀水鄉,農,其他,1150201,1070850.0,35.69,0.0,35.69,30004.0,西興段1624地號,True,False
6979568205172283448,115S2,秀水鄉,農,其他,1150201,10729150.0,754.74,0.0,754.74,14216.0,西興段1624-1地號,True,False
5045056088422923934,115S2,溪湖鎮,住,華廈(10層含以下有電梯),1150204,9300000.0,11.65,29.21,29.21,318384.0,彰化縣溪湖鎮富貴五街２８號二樓之５,False,False
6277292542348573842,115S2,埔鹽鄉,住,透天厝,1150225,20000000.0,32.16,86.58,86.58,231000.0,彰化縣埔鹽鄉中正二路２５號,False,False
4927631654288260467,115S2,溪湖鎮,特定農業區,其他,1150224,6330000.0,567.19,0.0,567.19,11160.0,中興段697地號,True,False
5730925453801503855,115S2,溪湖鎮,住,透天厝,1150130,7300000.0,22.69,53.18,53.18,137270.0,彰化縣溪湖鎮大公路４７號,False,False
5761326678976030857,115S2,埔鹽鄉,住,透天厝,1150109,13380000.0,47.74,59.21,59.21,225975.0,彰化縣埔鹽鄉員鹿路二段１１７巷２８弄１３號,False,False
520123649672367299,115S2,埔鹽鄉,住,其他,1150112,2000000.0,28.02,0.0,28.02,71378.0,新永昌段1361地號,True,False
